num_relations,num_threshold_values,num_decimal_pos,query_graph_type,sample_index,num_phys_qubits
4,1,0,CHAIN,0,87
4,1,0,CHAIN,1,97
4,1,0,CHAIN,2,93
4,1,0,CHAIN,3,91
4,1,0,CHAIN,4,102
4,1,0,CHAIN,5,88
4,1,0,CHAIN,6,95
4,1,0,CHAIN,7,89
4,1,0,CHAIN,8,91
4,1,0,CHAIN,9,95
4,1,0,CHAIN,10,93
4,1,0,CHAIN,11,100
4,1,0,CHAIN,12,99
4,1,0,CHAIN,13,93
4,1,0,CHAIN,14,101
4,1,0,CHAIN,15,83
4,1,0,CHAIN,16,104
4,1,0,CHAIN,17,95
4,1,0,CHAIN,18,106
4,1,0,CHAIN,19,92
4,1,0,STAR,0,87
4,1,0,STAR,1,96
4,1,0,STAR,2,104
4,1,0,STAR,3,96
4,1,0,STAR,4,94
4,1,0,STAR,5,104
4,1,0,STAR,6,94
4,1,0,STAR,7,97
4,1,0,STAR,8,96
4,1,0,STAR,9,92
4,1,0,STAR,10,93
4,1,0,STAR,11,89
4,1,0,STAR,12,100
4,1,0,STAR,13,95
4,1,0,STAR,14,95
4,1,0,STAR,15,94
4,1,0,STAR,16,98
4,1,0,STAR,17,91
4,1,0,STAR,18,108
4,1,0,STAR,19,86
4,1,0,CYCLE,0,110
4,1,0,CYCLE,1,115
4,1,0,CYCLE,2,119
4,1,0,CYCLE,3,102
4,1,0,CYCLE,4,111
4,1,0,CYCLE,5,116
4,1,0,CYCLE,6,111
4,1,0,CYCLE,7,111
4,1,0,CYCLE,8,119
4,1,0,CYCLE,9,116
4,1,0,CYCLE,10,108
4,1,0,CYCLE,11,100
4,1,0,CYCLE,12,104
4,1,0,CYCLE,13,113
4,1,0,CYCLE,14,123
4,1,0,CYCLE,15,102
4,1,0,CYCLE,16,104
4,1,0,CYCLE,17,111
4,1,0,CYCLE,18,95
4,1,0,CYCLE,19,118
5,1,0,CHAIN,0,201
5,1,0,CHAIN,1,204
5,1,0,CHAIN,2,205
5,1,0,CHAIN,3,192
5,1,0,CHAIN,4,210
5,1,0,CHAIN,5,214
5,1,0,CHAIN,6,183
5,1,0,CHAIN,7,168
5,1,0,CHAIN,8,206
5,1,0,CHAIN,9,192
5,1,0,CHAIN,10,189
5,1,0,CHAIN,11,190
5,1,0,CHAIN,12,192
5,1,0,CHAIN,13,187
5,1,0,CHAIN,14,184
5,1,0,CHAIN,15,224
5,1,0,CHAIN,16,192
5,1,0,CHAIN,17,182
5,1,0,CHAIN,18,190
5,1,0,CHAIN,19,208
5,1,0,STAR,0,197
5,1,0,STAR,1,189
5,1,0,STAR,2,193
5,1,0,STAR,3,211
5,1,0,STAR,4,179
5,1,0,STAR,5,186
5,1,0,STAR,6,204
5,1,0,STAR,7,197
5,1,0,STAR,8,202
5,1,0,STAR,9,194
5,1,0,STAR,10,175
5,1,0,STAR,11,179
5,1,0,STAR,12,183
