annealing_time,query_graph_type,num_relations,sample_index,valid_solution_ratio,optimal_solution_ratio
20,CHAIN,3,0,0.319,0.078
20,CHAIN,3,1,0.302,0.1
20,CHAIN,3,2,0.296,0.096
20,CHAIN,3,3,0.333,0.1
20,CHAIN,3,4,0.285,0.038
20,CHAIN,3,5,0.293,0.079
20,CHAIN,3,6,0.287,0.065
20,CHAIN,3,7,0.29,0.071
20,CHAIN,3,8,0.301,0.072
20,CHAIN,3,9,0.319,0.092
20,CHAIN,3,10,0.298,0.09
20,CHAIN,3,11,0.289,0.099
20,CHAIN,3,12,0.282,0.053
20,CHAIN,3,13,0.329,0.097
20,CHAIN,3,14,0.289,0.067
20,CHAIN,3,15,0.27,0.085
20,CHAIN,3,16,0.281,0.081
20,CHAIN,3,17,0.28,0.076
20,CHAIN,3,18,0.305,0.066
20,CHAIN,3,19,0.35,0.088
20,CHAIN,4,0,0.019,0.002
20,CHAIN,4,1,0.022,0.002
20,CHAIN,4,2,0.024,0.003
20,CHAIN,4,3,0.019,0.002
20,CHAIN,4,4,0.015,0.0
20,CHAIN,4,5,0.014,0.002
20,CHAIN,4,6,0.011,0.0
20,CHAIN,4,7,0.008,0.001
20,CHAIN,4,8,0.013,0.001
20,CHAIN,4,9,0.012,0.0
20,CHAIN,4,10,0.014,0.003
20,CHAIN,4,11,0.018,0.002
20,CHAIN,4,12,0.014,0.002
20,CHAIN,4,13,0.011,0.002
20,CHAIN,4,14,0.022,0.004
20,CHAIN,4,15,0.017,0.003
20,CHAIN,4,16,0.014,0.001
20,CHAIN,4,17,0.014,0.002
20,CHAIN,4,18,0.012,0.0
20,CHAIN,4,19,0.013,0.003
20,CHAIN,5,0,0.0,0.0
20,CHAIN,5,1,0.003,0.0
20,CHAIN,5,2,0.0,0.0
20,CHAIN,5,3,0.0,0.0
20,CHAIN,5,4,0.0,0.0
20,CHAIN,5,5,0.0,0.0
20,CHAIN,5,6,0.0,0.0
20,CHAIN,5,7,0.0,0.0
20,CHAIN,5,8,0.002,0.0
20,CHAIN,5,9,0.001,0.0
20,CHAIN,5,10,0.001,0.0
20,CHAIN,5,11,0.001,0.0
20,CHAIN,5,12,0.002,0.0
20,CHAIN,5,13,0.0,0.0
20,CHAIN,5,14,0.0,0.0
20,CHAIN,5,15,0.001,0.0
20,CHAIN,5,16,0.002,0.0
20,CHAIN,5,17,0.0,0.0
20,CHAIN,5,18,0.001,0.0
20,CHAIN,5,19,0.0,0.0
60,CHAIN,3,0,0.325,0.078
60,CHAIN,3,1,0.29,0.087
60,CHAIN,3,2,0.306,0.123
60,CHAIN,3,3,0.297,0.086
60,CHAIN,3,4,0.297,0.091
60,CHAIN,3,5,0.319,0.108
60,CHAIN,3,6,0.299,0.069
60,CHAIN,3,7,0.318,0.104
60,CHAIN,3,8,0.298,0.097
60,CHAIN,3,9,0.33,0.089
60,CHAIN,3,10,0.321,0.066
60,CHAIN,3,11,0.321,0.059
60,CHAIN,3,12,0.317,0.076
60,CHAIN,3,13,0.32,0.084
60,CHAIN,3,14,0.335,0.088
60,CHAIN,3,15,0.312,0.104
60,CHAIN,3,16,0.287,0.094
60,CHAIN,3,17,0.287,0.072
60,CHAIN,3,18,0.286,0.091
60,CHAIN,3,19,0.325,0.07
60,CHAIN,4,0,0.019,0.002
60,CHAIN,4,1,0.023,0.002
60,CHAIN,4,2,0.02,0.002
60,CHAIN,4,3,0.011,0.002
60,CHAIN,4,4,0.017,0.003
60,CHAIN,4,5,0.011,0.004
60,CHAIN,4,6,0.012,0.001
60,CHAIN,4,7,0.013,0.001
60,CHAIN,4,8,0.023,0.002
60,CHAIN,4,9,0.018,0.0
60,CHAIN,4,10,0.015,0.0
60,CHAIN,4,11,0.02,0.004
60,CHAIN,4,12,0.019,0.004
60,CHAIN,4,13,0.017,0.001
60,CHAIN,4,14,0.022,0.0
60,CHAIN,4,15,0.015,0.001
60,CHAIN,4,16,0.014,0.0
60,CHAIN,4,17,0.019,0.003
60,CHAIN,4,18,0.027,0.001
60,CHAIN,4,19,0.015,0.001
60,CHAIN,5,0,0.001,0.0
60,CHAIN,5,1,0.0,0.0
60,CHAIN,5,2,0.001,0.0
60,CHAIN,5,3,0.001,0.0
60,CHAIN,5,4,0.0,0.0
60,CHAIN,5,5,0.0,0.0
60,CHAIN,5,6,0.001,0.0
60,CHAIN,5,7,0.0,0.0
60,CHAIN,5,8,0.0,0.0
60,CHAIN,5,9,0.001,0.0
60,CHAIN,5,10,0.001,0.001
60,CHAIN,5,11,0.0,0.0
60,CHAIN,5,12,0.003,0.0
60,CHAIN,5,13,0.001,0.0
60,CHAIN,5,14,0.001,0.0
60,CHAIN,5,15,0.001,0.0
60,CHAIN,5,16,0.0,0.0
60,CHAIN,5,17,0.0,0.0
60,CHAIN,5,18,0.0,0.0
60,CHAIN,5,19,0.002,0.0
100,CHAIN,3,0,0.298,0.061
100,CHAIN,3,1,0.37,0.075
100,CHAIN,3,2,0.316,0.083
100,CHAIN,3,3,0.328,0.059
100,CHAIN,3,4,0.318,0.064
100,CHAIN,3,5,0.314,0.053
100,CHAIN,3,6,0.327,0.084
100,CHAIN,3,7,0.322,0.065
100,CHAIN,3,8,0.314,0.117
100,CHAIN,3,9,0.347,0.058
100,CHAIN,3,10,0.35,0.097
100,CHAIN,3,11,0.337,0.098
100,CHAIN,3,12,0.339,0.113
100,CHAIN,3,13,0.339,0.093
100,CHAIN,3,14,0.317,0.092
100,CHAIN,3,15,0.322,0.082
100,CHAIN,3,16,0.313,0.089
100,CHAIN,3,17,0.32,0.055
100,CHAIN,3,18,0.357,0.069
100,CHAIN,3,19,0.342,0.081
100,CHAIN,4,0,0.013,0.001
100,CHAIN,4,1,0.014,0.0
100,CHAIN,4,2,0.017,0.001
100,CHAIN,4,3,0.02,0.005
100,CHAIN,4,4,0.023,0.002
100,CHAIN,4,5,0.024,0.002
100,CHAIN,4,6,0.015,0.002
100,CHAIN,4,7,0.016,0.001
100,CHAIN,4,8,0.019,0.0
100,CHAIN,4,9,0.016,0.001
100,CHAIN,4,10,0.018,0.001
100,CHAIN,4,11,0.027,0.003
100,CHAIN,4,12,0.018,0.002
100,CHAIN,4,13,0.014,0.004
100,CHAIN,4,14,0.023,0.001
100,CHAIN,4,15,0.019,0.0
100,CHAIN,4,16,0.02,0.002
100,CHAIN,4,17,0.019,0.001
100,CHAIN,4,18,0.023,0.002
100,CHAIN,4,19,0.013,0.001
100,CHAIN,5,0,0.0,0.0
100,CHAIN,5,1,0.0,0.0
100,CHAIN,5,2,0.002,0.0
100,CHAIN,5,3,0.0,0.0
100,CHAIN,5,4,0.001,0.0
100,CHAIN,5,5,0.0,0.0
100,CHAIN,5,6,0.001,0.0
100,CHAIN,5,7,0.0,0.0
100,CHAIN,5,8,0.0,0.0
100,CHAIN,5,9,0.0,0.0
100,CHAIN,5,10,0.0,0.0
100,CHAIN,5,11,0.0,0.0
100,CHAIN,5,12,0.0,0.0
100,CHAIN,5,13,0.001,0.0
100,CHAIN,5,14,0.0,0.0
100,CHAIN,5,15,0.0,0.0
100,CHAIN,5,16,0.001,0.0
100,CHAIN,5,17,0.001,0.0
100,CHAIN,5,18,0.002,0.0
100,CHAIN,5,19,0.0,0.0
20,STAR,4,0,0.024,0.002
20,STAR,4,1,0.015,0.001
20,STAR,4,2,0.018,0.005
20,STAR,4,3,0.014,0.002
20,STAR,4,4,0.023,0.003
20,STAR,4,5,0.022,0.002
20,STAR,4,6,0.015,0.005
20,STAR,4,7,0.019,0.003
20,STAR,4,8,0.013,0.001
20,STAR,4,9,0.017,0.003
20,STAR,4,10,0.023,0.003
20,STAR,4,11,0.02,0.003
20,STAR,4,12,0.025,0.01
20,STAR,4,13,0.019,0.002
20,STAR,4,14,0.029,0.006
20,STAR,4,15,0.015,0.001
20,STAR,4,16,0.016,0.002
20,STAR,4,17,0.023,0.003
20,STAR,4,18,0.02,0.002
20,STAR,4,19,0.017,0.003
20,STAR,5,0,0.0,0.0
20,STAR,5,1,0.001,0.0
20,STAR,5,2,0.0,0.0
20,STAR,5,3,0.0,0.0
20,STAR,5,4,0.002,0.0
20,STAR,5,5,0.0,0.0
20,STAR,5,6,0.0,0.0
20,STAR,5,7,0.0,0.0
20,STAR,5,8,0.0,0.0
20,STAR,5,9,0.0,0.0
20,STAR,5,10,0.0,0.0
20,STAR,5,11,0.0,0.0
20,STAR,5,12,0.0,0.0
20,STAR,5,13,0.0,0.0
20,STAR,5,14,0.0,0.0
20,STAR,5,15,0.0,0.0
20,STAR,5,16,0.0,0.0
20,STAR,5,17,0.0,0.0
20,STAR,5,18,0.0,0.0
20,STAR,5,19,0.0,0.0
60,STAR,4,0,0.025,0.006
60,STAR,4,1,0.02,0.003
60,STAR,4,2,0.021,0.004
60,STAR,4,3,0.024,0.002
60,STAR,4,4,0.018,0.002
60,STAR,4,5,0.023,0.005
60,STAR,4,6,0.02,0.003
60,STAR,4,7,0.015,0.004
60,STAR,4,8,0.027,0.005
60,STAR,4,9,0.032,0.006
60,STAR,4,10,0.015,0.0
60,STAR,4,11,0.027,0.001
60,STAR,4,12,0.015,0.003
60,STAR,4,13,0.014,0.001
60,STAR,4,14,0.011,0.001
60,STAR,4,15,0.017,0.0
60,STAR,4,16,0.015,0.003
60,STAR,4,17,0.011,0.002
60,STAR,4,18,0.026,0.003
60,STAR,4,19,0.026,0.004
60,STAR,5,0,0.0,0.0
60,STAR,5,1,0.0,0.0
60,STAR,5,2,0.0,0.0
60,STAR,5,3,0.0,0.0
60,STAR,5,4,0.001,0.0
60,STAR,5,5,0.0,0.0
60,STAR,5,6,0.0,0.0
60,STAR,5,7,0.0,0.0
60,STAR,5,8,0.0,0.0
60,STAR,5,9,0.0,0.0
60,STAR,5,10,0.0,0.0
60,STAR,5,11,0.0,0.0
60,STAR,5,12,0.0,0.0
60,STAR,5,13,0.001,0.0
60,STAR,5,14,0.002,0.0
60,STAR,5,15,0.0,0.0
60,STAR,5,16,0.0,0.0
60,STAR,5,17,0.0,0.0
60,STAR,5,18,0.0,0.0
60,STAR,5,19,0.0,0.0
100,STAR,4,0,0.012,0.001
100,STAR,4,1,0.019,0.0
100,STAR,4,2,0.023,0.001
100,STAR,4,3,0.017,0.003
100,STAR,4,4,0.017,0.001
100,STAR,4,5,0.019,0.004
100,STAR,4,6,0.016,0.003
100,STAR,4,7,0.02,0.003
100,STAR,4,8,0.022,0.001
100,STAR,4,9,0.022,0.001
100,STAR,4,10,0.018,0.002
100,STAR,4,11,0.021,0.003
100,STAR,4,12,0.017,0.0
100,STAR,4,13,0.019,0.001
100,STAR,4,14,0.016,0.002
100,STAR,4,15,0.019,0.001
100,STAR,4,16,0.015,0.002
100,STAR,4,17,0.008,0.001
100,STAR,4,18,0.013,0.001
100,STAR,4,19,0.021,0.003
100,STAR,5,0,0.0,0.0
100,STAR,5,1,0.0,0.0
100,STAR,5,2,0.0,0.0
100,STAR,5,3,0.0,0.0
100,STAR,5,4,0.0,0.0
100,STAR,5,5,0.0,0.0
100,STAR,5,6,0.0,0.0
100,STAR,5,7,0.0,0.0
100,STAR,5,8,0.0,0.0
100,STAR,5,9,0.0,0.0
